"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","0","0.8961937716262975","221","43.90045248868778","-5.365916955017301","4.557093425605537","386.0627256337077","2.792158040710488"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","1","0.8667820069204152","228","42.86842105263158","-6.067474048442906","4.724913494809688","188.20296940593119","1.0609987724516785"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","2","0.8719723183391004","231","41.36363636363637","-5.530276816608996","4.557093425605537","126.22928648074782","0.6138886380032773"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","3","0.8771626297577855","231","42.4025974025974","-6.253460207612457","4.730103806228374","125.0779517866487","0.5687315184054982"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","4","0.8771626297577855","232","41.28879310344828","-5.972318339100346","4.717993079584775","104.7834184594244","0.45917531675959367"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","5","0.9238754325259516","234","41.23076923076923","-5.154844290657439","4.451557093425605","100.14458444552984","0.45429754243565673"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","6","0.8961937716262975","236","40.21610169491525","-5.228373702422146","4.470588235294118","99.08651031275613","0.4180906392268543"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","7","0.8615916955017301","237","40.379746835443036","-6.22923875432526","4.697231833910035","90.17474160275391","0.39286754805045476"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","8","0.9065743944636678","237","40.51898734177215","-5.168685121107266","4.534602076124568","87.27905668013759","0.39183097459144034"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","9","0.9117647058823529","237","40.438818565400844","-4.923010380622838","4.413494809688581","83.02206381371873","0.3717227948226019"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","10","0.9221453287197232","237","40.50632911392405","-4.884948096885813","4.477508650519031","85.72474843561102","0.35434891075791974"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","11","0.8944636678200693","237","40.0084388185654","-5.20242214532872","4.455017301038063","76.65615050449816","0.36111789478615625"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","12","0.8633217993079585","237","40.18143459915612","-5.930795847750865","4.676470588235294","71.45078761696526","0.2945714843791683"
